ShipLastName,StartDate,Id,ShipCountry,ShipCity,ShipPhone,ShipStreet1,ShipFirstName,JobRecurringId,OrderType,ShipZip,ShipMiddleName,JobTitle,JobStatus,JobNotes,OrderStatus,_TrackingNumber,ProductId,ShipCompany,ContactId,DueDate,DateCreated,ShipState,_SourceAppOrderID
Picard,2013-09-26 16:41:52,2,United States,chandler,1234567890,1234 Enterprise Way,Jean Luc,0,Online,12345,,Shopping Cart,Quote,,1,,,,17730,2013-09-26 16:41:52,2013-09-26 16:43:31,AZ,2
Picard,2013-09-26 17:41:57,4,United States,chandler,(123) 456-7890,1234 Enterprise Way,Jean Luc,0,Online,12345,,Order (9/26/2013),Quote,,0,,,,17730,2013-09-26 00:00:00,2013-09-26 17:45:22,AZ,4
Richards,2013-10-02 17:28:25,12,,,,,Krista,0,Offline,,,Notebook,Quote,,0,,,Infusionsoft,17750,2013-10-02 00:00:00,2013-10-02 17:28:25,,12
Wayne,2013-10-03 13:47:33,18,United States,Gotham,1234567890,1234 place street,Bruce,0,Online,99090,,Shopping Cart,Quote,,1,,,,17730,2013-10-03 13:47:33,2013-10-03 14:43:40,NY,18
wayne,2013-10-03 14:47:00,20,United States,gotham,1234567890,1234 place street,bruce,0,Online,99090,,Shopping Cart,Quote,,1,,,,17730,2013-10-03 14:47:00,2013-10-03 14:49:50,NY,20
wayne,2013-10-03 14:51:38,22,United States,gotham,1234567890,1234 place street,bruce,0,Online,99090,,Shopping Cart,Quote,,1,,,,17730,2013-10-03 14:51:38,2013-10-03 14:52:30,NY,22
Fullmer,2013-10-21 17:03:25,32,,,,,Josh,0,,,,Josh Fullmer Order (10/21/2013),Quote,,0,,,,17730,2013-10-21 00:00:00,2013-10-21 17:03:38,,32
Johnson,2013-11-21 11:05:25,50,United States,Place,,123 street,Someone,0,Online,85233,,Someone Johnson Order (11/21/2013),Quote,,0,,,Infusionsoft,17730,2013-11-21 00:00:00,2013-11-21 11:05:34,az,50
Person,2013-11-21 11:10:57,52,United States,City,,132 place,Firstname,0,Online,85233,,Online Sale: Pencils,Quote,Online Sale: ,0,,,,17730,2013-11-21 11:10:57,2013-11-21 11:10:57,az,52
FULLMER,2013-11-26 15:39:36,54,United States,City,,123 place,Josh,0,Online,85233,,Online Sale: Health Food Bars,Quote,Online Sale: ,0,,,,17730,2013-11-26 15:39:36,2013-11-26 15:39:36,az,54
Stark,2013-12-13 16:38:52,64,,,,,Tony,0,,,,Tony Stark Order (12/13/2013),Quote,,0,,,Stark Industries,17730,2013-12-13 00:00:00,2013-12-13 16:38:57,,64
Mctesterson,2014-01-22 15:00:57,78,United States,city,1234567890,123 place,tesy,0,Online,85233,,Shopping Cart,Quote,,1,,,,17730,2014-01-22 15:00:57,2014-01-22 15:01:48,AZ,78
Fooblah,2014-01-28 17:56:25,86,United States,City,(123) 456-7890,132 place,Josh,0,Online,85233,,Order Form,Quote,,1,,,,17730,2014-01-28 17:56:25,2014-01-28 17:56:48,az,86
Fullmer,2014-03-06 10:49:18,116,United States,City,(480) 276-5071,132 place,Josh,0,Offline,85233,Al,Order From Quote 000002,Quote,,1,,,Place,17730,2014-03-06 10:49:18,2014-03-06 10:50:08,az,116
